Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
05997	Reading and Research in HCI	24-48	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
Information & Communication Technology	 	 	 	 	 	 	 	 	 	 
04601	MSIT First Year Seminar	3.0	A	F	09:00AM	10:20AM	TBA	Kigali, Rwanda	Krogh
04605	MSIT Second-Year Seminar	6.0	A	M	09:00AM	10:50AM	TBA	Kigali, Rwanda	Krogh
04611	Strategic Use of Digital Information in Enterprise	12.0	A	TR	09:00AM	10:50AM	TBA	Kigali, Rwanda	Bezy
04630	Computer Science Principles for Practicing Engineers	12.0	A	MW	11:00AM	12:20PM	TBA	Kigali, Rwanda	Schmidtke
 	 	 	 	M	04:00PM	04:50PM	TBA	Kigali, Rwanda
 	 	 	 	F	02:00PM	03:20PM	TBA	Kigali, Rwanda
 	 	 	B	MW	11:00AM	12:20PM	TBA	Kigali, Rwanda	Schmidtke
 	 	 	 	M	05:00PM	05:50PM	TBA	Kigali, Rwanda
 	 	 	 	F	03:30PM	04:50PM	TBA	Kigali, Rwanda
04641	Fundamentals of Telecommunications and Computer Networks	12.0	A	TR	02:00PM	03:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	 	T	04:00PM	04:50PM	TBA	Kigali, Rwanda
 	 	 	B	TR	02:00PM	03:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	 	T	05:00PM	05:50PM	TBA	Kigali, Rwanda
04800	Special Topics in ICT:	12.0	 	 	 	 	 	 
 	Geosensors Networks	 	C	TR	11:00AM	12:20PM	TBA	Kigali, Rwanda	Schmidtke
 	 	 	 	TR	02:00PM	05:50PM	TBA	Kigali, Rwanda
 	Special Topics in ICT:	 	 	 	 	 	 	 
 	Advanced Networking	 	E	TR	02:00PM	03:50PM	TBA	Kigali, Rwanda	Brown
04801	Special Topics in ICT Mini	6.0	A1	M	04:00PM	04:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	 	TR	11:00AM	12:20PM	TBA	Kigali, Rwanda
 	 	 	A2	M	04:00PM	04:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	 	TR	11:00AM	12:20PM	TBA	Kigali, Rwanda
 	Special Topics in ICT Mini:	 	 	 	 	 	 	 
 	Networking LAB	 	B1	M	02:00PM	03:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	 	M	05:00PM	08:50PM	TBA	Kigali, Rwanda
04900	MSIT Practicum	24.0	A	F	02:00PM	03:50PM	TBA	Kigali, Rwanda	Instructor TBA
04980	MSIT Research Project	3-15	A	TBA			TBA	Kigali, Rwanda	Instructor TBA
Information Networking Institute	 	 	 	 	 	 	 	 	 	 
14699	Silicon Valley Residency	0.0	SV	TBA			DNM DNM	San Jose, California	Instructor TBA
14700	INI Project/Thesis Research	0-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
14704	MSIN/MSISTM Seminar	0-1	A	F	02:30PM	03:50PM	CIC 1201	Pittsburgh, Pennsylvania	Tsamitis
14706	Information Networking Project	0-42	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
14707	Information Networking Thesis	6-42	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
14708	INI Independent Study	0-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	SV	TBA			DNM DNM	San Jose, California	Instructor TBA
14709	INI Project-Japan	36.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
14727	Information Networking Industry Practicum	36.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
14740	Fundamentals of Telecommunications Networks	12.0	A	MW	07:30PM	08:50PM	CIC 1201	Pittsburgh, Pennsylvania	Nace
 	 	 	J	TBA			DNM DNM	Pittsburgh, Pennsylvania	Nace
14741	Introduction to Information Security	12.0	A	TR	07:30PM	08:50PM	CIC 1201	Pittsburgh, Pennsylvania	Christin
 	 	 	J	TBA			DNM DNM	Pittsburgh, Pennsylvania	Christin
14761	Applied Information Assurance	12.0	A	T	03:00PM	05:20PM	CIC 1201	Pittsburgh, Pennsylvania	May, Allen
14774	Managerial Economics	6.0	A1	MW	10:30AM	12:20PM	INI DEC	Pittsburgh, Pennsylvania	Lamont
 	 	 	 	F	10:30AM	12:20PM	INI DEC	Pittsburgh, Pennsylvania
14775	Business Management	6.0	A2	MW	09:30AM	11:20AM	INI DEC	Pittsburgh, Pennsylvania	Lamont
 	 	 	 	F	09:30AM	11:20AM	INI DEC	Pittsburgh, Pennsylvania
 	 	 	B2	MW	11:30AM	01:20PM	INI DEC	Pittsburgh, Pennsylvania	Lamont
 	 	 	 	F	11:30AM	01:20PM	INI DEC	Pittsburgh, Pennsylvania
14797	Internship	0-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
14798	INI MSIT Project Practicum	24.0	SV	W	01:30PM	03:00PM	B23 118	San Jose, California	Instructor TBA
14809	Special Topics: Introduction to Cyber Intelligence	12.0	A	TR	10:30AM	12:00PM	CIC 1201	Pittsburgh, Pennsylvania	Instructor TBA
14815	Entrepreneurship and Innovation in Technology	12.0	A	T	06:30PM	09:20PM	PH A18C	Pittsburgh, Pennsylvania	Engler
14823	Network Forensics	12.0	A	R	01:30PM	04:20PM	CIC 1201	Pittsburgh, Pennsylvania	Rush
14829	Mobile Security	12.0	A	TR	12:00PM	01:30PM	CIC 1201	Pittsburgh, Pennsylvania	Tague
 	 	 	SV	TR	09:00AM	10:30AM	B23 211	San Jose, California	Tague
Information Systems:Sch of IS & Mgt	 	 	 	 	 	 	 	 	 	 
95702	Distributed Systems	12.0	A	MW	01:30PM	02:50PM	HBH 1000	Pittsburgh, Pennsylvania	Mertz, McCarthy
 	 	 	B	MW	03:00PM	04:20PM	HBH 1000	Pittsburgh, Pennsylvania	Mertz, McCarthy
95703	Database Management	12.0	A	TR	01:30PM	02:50PM	HBH 1502	Pittsburgh, Pennsylvania	Szczypula
 	 	 	B	W	06:00PM	08:50PM	GHC 4307	Pittsburgh, Pennsylvania	Szczypula
 	 	 	C	TR	09:00AM	10:20AM	HBH 1502	Pittsburgh, Pennsylvania	Szczypula
 	 	 	D	R	06:00PM	08:50PM	HBH 1001	Pittsburgh, Pennsylvania	Szczypula
 	 	 	Z	TBA			TBA	Pittsburgh, Pennsylvania	Smith
95704	Advanced Database Management	12.0	A	M	06:00PM	08:50PM	HBH 1502	Pittsburgh, Pennsylvania	Trzeciak
95705	Telecommunications Management	12.0	K	MW	01:30PM	02:50PM	TOR CLASS2	Adelaide, Australia	Esmail Zadeh
 	 	 	 	F	09:00AM	10:20AM	TOR CLASS2	Adelaide, Australia
 	 	 	L	MW	03:00PM	04:20PM	TOR CLASS2	Adelaide, Australia	Esmail Zadeh
 	 	 	 	F	10:30AM	11:50AM	TOR CLASS2	Adelaide, Australia
 	 	 	Z	TBA			DNM DNM	Pittsburgh, Pennsylvania	Yucel
95706	Object Oriented Analysis and Design	6.0	A1	W	06:00PM	08:50PM	HBH 1000	Pittsburgh, Pennsylvania	Cois
 	 	 	B2	R	06:00PM	08:50PM	WEH 5409	Pittsburgh, Pennsylvania	Cois
 	 	 	Z2	TBA			DNM DNM	Pittsburgh, Pennsylvania	Dutt
95710	Economic Analysis	6.0	A1	MW	09:00AM	10:20AM	HBH 1001	Pittsburgh, Pennsylvania	Acquisti
 	 	 	 	F	04:30PM	05:50PM	HBH 1000	Pittsburgh, Pennsylvania
 	 	 	B2	MW	09:00AM	10:20AM	HBH 1001	Pittsburgh, Pennsylvania	Clay
 	 	 	 	F	04:30PM	05:50PM	HBH 1000	Pittsburgh, Pennsylvania
 	 	 	C1	MW	10:30AM	11:50AM	HBH 1001	Pittsburgh, Pennsylvania	Acquisti
 	 	 	 	F	04:30PM	05:50PM	HBH 1000	Pittsburgh, Pennsylvania
 	 	 	D2	MW	10:30AM	11:50AM	HBH 1001	Pittsburgh, Pennsylvania	Lim
 	 	 	 	F	03:00PM	04:20PM	HBH 1004	Pittsburgh, Pennsylvania
 	 	 	E1	MW	01:30PM	02:50PM	HBH 1001	Pittsburgh, Pennsylvania	Acquisti
 	 	 	 	F	04:30PM	05:50PM	HBH 1000	Pittsburgh, Pennsylvania
 	 	 	F2	MW	03:00PM	04:20PM	HBH 236	Pittsburgh, Pennsylvania	Clay
 	 	 	 	F	04:30PM	05:50PM	HBH 1000	Pittsburgh, Pennsylvania
95712	Object Oriented Programming in JAVA	12.0	A	TR	03:00PM	04:20PM	HBH 1502	Pittsburgh, Pennsylvania	Roehrig
 	 	 	B	R	06:00PM	08:50PM	HBH 1502	Pittsburgh, Pennsylvania	Roehrig
 	 	 	C	M	06:00PM	08:50PM	PH A18C	Pittsburgh, Pennsylvania	Roehrig
 	 	 	K	TR	01:30PM	02:50PM	TOR CLASS1	Adelaide, Australia	Viswanathan
 	 	 	 	F	03:00PM	04:20PM	TOR CLASS1	Adelaide, Australia
 	 	 	L	TR	03:00PM	04:20PM	TOR CLASS1	Adelaide, Australia	Viswanathan
 	 	 	 	F	04:30PM	05:50PM	TOR CLASS1	Adelaide, Australia
95713	Intermediate Java II	6.0	A1	T	06:00PM	08:50PM	HBH 1003	Pittsburgh, Pennsylvania	Yucel
95715	Financial Accounting	6.0	A1	TR	03:00PM	04:20PM	HBH 1001	Pittsburgh, Pennsylvania	Pastor
 	 	 	B1	TR	10:30AM	11:50AM	HBH 1001	Pittsburgh, Pennsylvania	Pastor
 	 	 	C1	TR	01:30PM	02:50PM	HBH 1001	Pittsburgh, Pennsylvania	Pastor
95716	Principles of Finance	6.0	A2	TR	03:00PM	04:20PM	HBH 1001	Pittsburgh, Pennsylvania	Pastor
 	 	 	B2	TR	10:30AM	11:50AM	HBH 1502	Pittsburgh, Pennsylvania	Pastor
 	 	 	C2	TR	01:30PM	02:50PM	HBH 1001	Pittsburgh, Pennsylvania	Pastor
95718	Professional Speaking	6.0	A1	MW	09:00AM	10:20AM	HBH 1003	Pittsburgh, Pennsylvania	Labash
 	 	 	B1	MW	01:30PM	02:50PM	HBH 1002	Pittsburgh, Pennsylvania	Labash
 	 	 	C2	MW	09:00AM	10:20AM	HBH 1003	Pittsburgh, Pennsylvania	Labash
 	 	 	D2	MW	01:30PM	02:50PM	HBH 1002	Pittsburgh, Pennsylvania	Labash
 	 	 	E1	TR	09:00AM	10:20AM	HBH 1004	Pittsburgh, Pennsylvania	Labash
 	 	 	F2	TR	09:00AM	10:20AM	HBH 1004	Pittsburgh, Pennsylvania	Labash
95720	Information Systems Project	0-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	AA	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	H	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	J	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	K	T	05:30PM	08:20PM	TOR CLASS1	Adelaide, Australia	Instructor TBA
 	 	 	N	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	O	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Q	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	R	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	X	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Y	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Z	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	ZA	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	ZB	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	ZC	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	ZD	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95721	Information Systems Research Practicum	24.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	H	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95722	Digital Transformation	6.0	A1	TR	09:00AM	10:20AM	HBH 236	Pittsburgh, Pennsylvania	Smith
 	 	 	B1	TR	10:30AM	11:50AM	HBH 236	Pittsburgh, Pennsylvania	Smith
 	 	 	C2	TR	09:00AM	10:20AM	HBH 1001	Pittsburgh, Pennsylvania	Smith
 	 	 	D2	TR	10:30AM	11:50AM	HBH 1001	Pittsburgh, Pennsylvania	Smith
 	 	 	Z1	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95729	Electronic Commerce Technologies	6.0	A2	TR	09:00AM	10:20AM	HBH 1003	Pittsburgh, Pennsylvania	Instructor TBA
95730	E-Business Technology and Management	12.0	Z	TBA			DNM DNM	Pittsburgh, Pennsylvania	Khera
95733	Internet Technologies	6.0	A1	TR	01:30PM	02:50PM	HBH 1004	Pittsburgh, Pennsylvania	McCarthy
95752	Introduction to Information Security Management	12.0	A	M	06:00PM	08:50PM	HBH 1000	Pittsburgh, Pennsylvania	Caralli
95753	Internet Security	6.0	A1	R	06:00PM	08:50PM	HBH 1000	Pittsburgh, Pennsylvania	Lindner
 	 	 	Z1	TBA			DNM DNM	Pittsburgh, Pennsylvania	Lindner
95760	Decision Making Under Uncertainty	6.0	A1	MW	01:30PM	02:50PM	HBH 1502	Pittsburgh, Pennsylvania	Choi
 	 	 	 	F	01:30PM	02:50PM	HH B131	Pittsburgh, Pennsylvania
 	 	 	B1	T	06:00PM	08:50PM	HBH 1502	Pittsburgh, Pennsylvania	Choi
 	 	 	 	F	01:30PM	02:50PM	HH B131	Pittsburgh, Pennsylvania
 	 	 	C2	MW	01:30PM	02:50PM	HBH 1502	Pittsburgh, Pennsylvania	Choi
 	 	 	 	F	01:30PM	02:50PM	HH B131	Pittsburgh, Pennsylvania
 	 	 	D2	T	06:00PM	08:50PM	HBH 1502	Pittsburgh, Pennsylvania	Choi
 	 	 	 	F	01:30PM	02:50PM	HH B131	Pittsburgh, Pennsylvania
95765	Information Security Project	36.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95769	Network Security Analysis	12.0	Z	TBA			TBA	Pittsburgh, Pennsylvania	Shelmire
95771	Data Structures and Algorithms	12.0	A	W	06:00PM	08:50PM	BH 136A	Pittsburgh, Pennsylvania	McCarthy
95772	Data Structures for Application Programmers	6.0	A1	TR	04:30PM	05:50PM	HBH 1001	Pittsburgh, Pennsylvania	Lee
 	 	 	B2	TR	04:30PM	05:50PM	HBH 1001	Pittsburgh, Pennsylvania	Lee
95774	Business Process Modeling	6.0	A1	TR	10:30AM	11:50AM	HBH 1502	Pittsburgh, Pennsylvania	Moore
95775	IT Business Leadership	6.0	A2	R	06:00PM	08:50PM	HBH 1000	Pittsburgh, Pennsylvania	Smalley
 	 	 	B1	M	06:00PM	08:50PM	GHC 4215	Pittsburgh, Pennsylvania	Smalley
95791	Data Mining	6.0	A2	M	06:00PM	08:50PM	GHC 4307	Pittsburgh, Pennsylvania	Dubrawski
 	 	 	 	F	04:30PM	05:50PM	HBH 1502	Pittsburgh, Pennsylvania
 	 	 	Z2	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95794	Tech Startup: Tools and Techniques	6.0	A1	F	09:00AM	11:50AM	HBH 2503	Pittsburgh, Pennsylvania	Desantis
 	 	 	Z2	TBA			DNM DNM	Pittsburgh, Pennsylvania	Desantis
95796	Statistics for IT Managers	6.0	A1	TR	09:00AM	10:20AM	HBH 1000	Pittsburgh, Pennsylvania	Neill
 	 	 	 	F	03:00PM	04:20PM	DH 2210	Pittsburgh, Pennsylvania
 	 	 	B1	TR	10:30AM	11:50AM	HBH 1004	Pittsburgh, Pennsylvania	Neill
 	 	 	 	F	03:00PM	04:20PM	DH 2210	Pittsburgh, Pennsylvania
 	 	 	C1	TR	03:00PM	04:20PM	HBH 1000	Pittsburgh, Pennsylvania	Neill
 	 	 	 	F	03:00PM	04:20PM	DH 2210	Pittsburgh, Pennsylvania
 	 	 	D1	MW	03:00PM	04:20PM	HBH 1502	Pittsburgh, Pennsylvania	Neill
 	 	 	 	F	03:00PM	04:20PM	DH 2210	Pittsburgh, Pennsylvania
 	 	 	Z1	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
95797	Data Warehousing	6.0	A2	T	06:00PM	08:50PM	HBH 1004	Pittsburgh, Pennsylvania	Shantz
 	 	 	B2	TR	09:00AM	10:20AM	HBH 236	Pittsburgh, Pennsylvania	Li
95799	Linux and Open Source	6.0	A1	W	06:00PM	08:50PM	TBD TBD	Pittsburgh, Pennsylvania	Moul
95805	Business Communications	6.0	Z1	TBA			DNM DNM	Pittsburgh, Pennsylvania	Barr, Labash
95808	IT Project Management	6.0	A1	M	06:00PM	08:50PM	DH 1112	Pittsburgh, Pennsylvania	Thapar
 	 	 	B2	F	09:00AM	11:50AM	HBH 1502	Pittsburgh, Pennsylvania	Boyd
95813	Intermediate Database Management	6.0	A1	F	09:00AM	11:50AM	HBH 1502	Pittsburgh, Pennsylvania	Szczypula
95818	Privacy, Policy Law & Technology	12.0	A	TR	03:00PM	04:20PM	NSH 3002	Pittsburgh, Pennsylvania	Cranor
95824	Policies of Wireless Systems and the Internet	12.0	A	TR	12:00PM	01:20PM	WEH 5403	Pittsburgh, Pennsylvania	Peha
95831	Enterprise Architectures	6.0	A1	W	06:00PM	08:50PM	GHC 4102	Pittsburgh, Pennsylvania	Yanalitis
95833	Global IT Management and Sourcing	12.0	Y	TBA			DNM DNM	Pittsburgh, Pennsylvania	Ross
 	 	 	Z	TBA			DNM DNM	Pittsburgh, Pennsylvania	Wasser
95837	Global IT Sourcing	6.0	A1	W	06:00PM	08:50PM	HBH 236	Pittsburgh, Pennsylvania	Wasser
 	 	 	K1	W	09:00AM	11:50AM	TOR CLASS3	Adelaide, Australia	Wasser
95855	Network Situational Awareness	12.0	A	R	06:00PM	08:50PM	HBH 2503	Pittsburgh, Pennsylvania	Faber
95859	Innovation & Technology	6.0	A2	TR	10:30AM	11:50AM	HBH 1002	Pittsburgh, Pennsylvania	Labash
95865	Text Analytics	6.0	A2	TR	04:30PM	05:50PM	HBH 1002	Pittsburgh, Pennsylvania	Callan
95869	Hadoop and MapReduce	6.0	A2	MW	03:00PM	04:20PM	HBH 1502	Pittsburgh, Pennsylvania	Roehrig
95870	Managing Analytics Projects	6.0	A2	W	06:00PM	08:50PM	HBH 1004	Pittsburgh, Pennsylvania	Steier
95871	Mobile Application Development Project	12.0	K	MW	10:30AM	11:50AM	TOR CLASS3	Adelaide, Australia	Viswanathan
95874	Agile Methods	6.0	A1	T	06:00PM	08:50PM	HBH 1004	Pittsburgh, Pennsylvania	Instructor TBA
95875	Marketing Research in Action	6.0	A2	M	06:00PM	08:50PM	HBH 1001	Pittsburgh, Pennsylvania	Instructor TBA
95900	Internship	0-6	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Beggs
 	 	 	K	MTWRF			DNM DNM	Adelaide, Australia	Instructor TBA
95901	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Acquisti
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Lightman
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	McCarthy
95902	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Szczypula
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Gonzalez
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Esmail Zadeh
95903	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Khera
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Dabbish
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Esmail Zadeh
95904	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Nyberg
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Nourbakhsh
95905	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Heimann
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Sooriamurthi
95906	Independent Study	6.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Wasser
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Dow
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Roehrig
95907	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Telang
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Varadan
95908	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Poczos
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Wasser
95909	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Qian
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Shantz
95910	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Mertz
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Neill
95911	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Dubrawski
95912	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Wasser, Li
95913	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Callan
95914	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Pastor
95915	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Durand
95916	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Lavanya
95917	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Krishnan
95918	Independent Study	1-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Kurland
 	 	 	Z	TBA			DNM DNM	Pittsburgh, Pennsylvania	Fernandes
95919	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	McCarthy
95920	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Moore
 	 	 	B	TBA			DNM DNM	Pittsburgh, Pennsylvania	Lim
95921	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Jerath
95922	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Padman
95923	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Roehrig
95924	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Rao
95925	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Smith
95926	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Labash
95927	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Szczypula
95928	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Rousseau, Kovak
95929	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Shimeall
95930	Independent Study	1-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Cranor
95931	Independent Study	1-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	K	TBA			DNM DNM	Adelaide, Australia	Viswanathan
Institute for Software Research	 	 	 	 	 	 	 	 	 	 
08302	Introduction to Network Science:	9.0	 	 	 	 	 	 
 	Introduction to Network Science	 	A	TR	09:00AM	10:20AM	GHC 4102	Pittsburgh, Pennsylvania	Pfeffer
08532	Law of Computer Technology	9.0	A	TR	09:00AM	10:20AM	GHC 4307	Pittsburgh, Pennsylvania	Shamos
08533	Privacy, Policy, Law and Technology	9.0	A	TR	03:00PM	04:20PM	NSH 3002	Pittsburgh, Pennsylvania	Cranor
08541	Implementing Hardware and Software Systems for Smart Homes and Buildings:	12.0	 	 	 	 	 	 
 	Implementing Hardware and Software Sys Smart Homes and Buildings	 	A	MW	03:00PM	04:20PM	GHC 4301	Pittsburgh, Pennsylvania	Agarwal
08600	Java and J2EE Programming	12.0	A	TR	01:30PM	02:20PM	BH A51	Pittsburgh, Pennsylvania	Eppinger
 	 	 	 	F	01:30PM	02:50PM	WEH 7500	Pittsburgh, Pennsylvania
08602	Current Topics In Privacy Seminar	3.0	A	W	01:30PM	02:50PM	WEH 5302	Pittsburgh, Pennsylvania	Cranor
08604	Foundations of Privacy	12.0	A	MW	04:30PM	06:20PM	HH 1107	Pittsburgh, Pennsylvania	Datta
 	 	 	 	F	12:30PM	02:30PM	HH 1107	Pittsburgh, Pennsylvania
08622	Introduction to Network Science:	12.0	 	 	 	 	 	 
 	Introduction to Network Science	 	A	TR	09:00AM	10:20AM	GHC 4102	Pittsburgh, Pennsylvania	Pfeffer
08624	Influence and Persuasion Online	6.0	A2	TR	01:30PM	02:50PM	DH 1217	Pittsburgh, Pennsylvania	Herbsleb
08632	Law of Computer Technology	6.0	A1	TR	09:00AM	10:20AM	GHC 4307	Pittsburgh, Pennsylvania	Shamos
08700	Ubiquitous Computing	6.0	A1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	B1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	C1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	D1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	E1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	F1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
 	 	 	G1	TBA			TBA	Pittsburgh, Pennsylvania	Shamos
08701	Requirements Elicitation and Analysis	8.0	A2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
 	 	 	B2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
 	 	 	C2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
 	 	 	D2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
 	 	 	E2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
 	 	 	F2	TBA			TBA	Pittsburgh, Pennsylvania	Lattanze
