Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
48505	Architecture Design Studio: Speculative	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Lubetz
48506	Architecture Design Studio:Furniture	18.0	A	WF	01:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48509	Architecture Design Studio: Thesis I	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48531	Fabricating Customization	9.0	A	TR	12:00PM	01:20PM	MM C4	Pittsburgh, Pennsylvania	Ficca
48534	Architectural Theory Since 2000	9.0	A	TR	12:00PM	01:20PM	TBD TBD	Pittsburgh, Pennsylvania	Rosenblum
48568	Advanced CAD, BIM, and 3D Visualization	9.0	A	TR	01:30PM	02:50PM	BH 140C	Pittsburgh, Pennsylvania	Kurland
48599	Independent Study	3-9	A	TBA			TBA	Pittsburgh, Pennsylvania	Abdul-Aziz, Arscott, Torello, Clifford
48600	Architecture Design Studio	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48624	Parametric Modeling	9-12	A	R	01:30PM	02:20PM	CFA 206A	Pittsburgh, Pennsylvania	Krishnamurti, Bard
 	 	 	 	R	01:30PM	04:20PM	CFA 317	Pittsburgh, Pennsylvania	 
48631	Fabricating Customization	VAR	A	TBA			TBA	Pittsburgh, Pennsylvania	Ficca
48632	Bio Logic Responsive Building Technology	VAR	A	TR	06:30PM	07:50PM	CFA 213	Pittsburgh, Pennsylvania	Clifford
48700	Practicum	0-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
48702	Master's Project	18-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
48705	Architecture Design Studio: Urban Placemaking Studio	18.0	Lec	M	01:30PM	02:50PM	MM 407	Pittsburgh, Pennsylvania	Danes
 	 	 	A	MWF	01:30PM	04:20PM	MM 407	Pittsburgh, Pennsylvania	Danes
48707	MUD Graduate Seminar	3.0	A	F	10:30AM	11:50AM	CFA 213	Pittsburgh, Pennsylvania	Carter
48722	Building Performance Modeling	12.0	A	TR	01:30PM	02:50PM	WEH 4623	Pittsburgh, Pennsylvania	Lam
48725	Real Estate Design and Development	9.0	A	TR	10:30AM	11:50AM	MM 403	Pittsburgh, Pennsylvania	Mingo
48729	Productivity, Health and the Quality of Buildings	9-12	A	TR	09:00AM	10:20AM	MM 415IW	Pittsburgh, Pennsylvania	Loftness
48731	Sustainable Design Synthesis Prep	12.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Loftness, Abdul-Aziz
48732	Sustainable Design Synthesis	VAR	A	TBA			TBA	Pittsburgh, Pennsylvania	Loftness, Abdul-Aziz
48736	MS Independent Study	0-99	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Abdul-Aziz
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Kurland, Carter
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Hartkopf
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Oppenheim
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Folan
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Lam
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Gross
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Akin
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Krishnamurti
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Lee
 	 	 	V	TBA			TBA	Pittsburgh, Pennsylvania	Loftness
 	 	 	X	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48738	Special Topics: Ecological Footprints	6.0	A	MW	10:30AM	11:50AM	MM 415IW	Pittsburgh, Pennsylvania	Hartkopf
48739	Making Things Interactive (Graduate)	9-12	A	TBA			TBA	Pittsburgh, Pennsylvania	Clifford
48753	Urban Design Methods	9.0	A	TR	12:00PM	01:20PM	MM 321	Pittsburgh, Pennsylvania	El Samahy
48757	Introduction to Computing for Creative Practices	10.0	A	MWF	09:30AM	10:20AM	PH A18A	Pittsburgh, Pennsylvania	Roberts
 	 	 	 	R	12:00PM	01:20PM	WEH 5202	Pittsburgh, Pennsylvania
48760	Valuae Based Design: Embedded Commissioning	6.0	A2	MW	01:30PM	02:50PM	MM 403	Pittsburgh, Pennsylvania	Akin
48769	Thesis/Project	18.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
48790	Graduate Research Seminar	6,9,12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
