Run Date: 27-apr-2014 
Semester: Spring 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
 	Move It	 	B4	MW	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Armistead
 	3D Media Studio II:	 	 	 	 	 	 	 
 	Multiples, Mold Making, and Casting	 	C3	TR	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Reiman
 	3D Media Studio II:	 	 	 	 	 	 	 
 	Multiples, Mold Making, and Casting	 	C4	TR	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Reiman
 	3D Media Studio II:	 	 	 	 	 	 	 
 	Soft Sculpture	 	D3	TR	01:30PM	04:20PM	DH B303	Pittsburgh, Pennsylvania	Droege
 	3D Media Studio II:	 	 	 	 	 	 	 
 	Soft Sculpture	 	D4	TR	01:30PM	04:20PM	DH B303	Pittsburgh, Pennsylvania	Droege
60141	Black and White Photography I	10.0	A	MW	01:30PM	04:20PM	MM B10	Pittsburgh, Pennsylvania	Gruzska
 	 	 	B	TR	08:30AM	11:20AM	MM B10	Pittsburgh, Pennsylvania	Spradlin
 	 	 	C	TR	01:30PM	04:20PM	MM B10	Pittsburgh, Pennsylvania	Maurides
60142	Digital Photography I	10.0	A	MW	01:30PM	04:20PM	MM B2	Pittsburgh, Pennsylvania	Vitone
60157	Drawing for Non-Majors	10.0	A	MW	08:30AM	11:20AM	CFA 308	Pittsburgh, Pennsylvania	Kovak
60160	2D Media Studio: Imaging	10.0	A	MW	08:30AM	11:20AM	CFA 313	Pittsburgh, Pennsylvania	Merrell
 	 	 	B	TR	08:30AM	11:20AM	CFA 313	Pittsburgh, Pennsylvania	Stigliani
 	 	 	C	TR	06:30PM	09:20PM	CFA 308	Pittsburgh, Pennsylvania	Johnson
60200	Sophomore Review	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60202	Concept Studio III	10.0	A	MW	01:30PM	04:20PM	CFA 310	Pittsburgh, Pennsylvania	Rubin
 	 	 	B	MW	08:30AM	11:20AM	DH B301	Pittsburgh, Pennsylvania	Sarnelle
 	 	 	C	TR	01:30PM	04:20PM	DH B305	Pittsburgh, Pennsylvania	Pell
 	 	 	D	TR	01:30PM	04:20PM	DH C200	Pittsburgh, Pennsylvania	Momeni
60206	Contemporary Visual Culture 1960 - Present	9.0	A	T	06:30PM	08:50PM	MM 103	Pittsburgh, Pennsylvania	Ragona
60241	Black and White Photography II	10.0	A	MW	08:30AM	11:20AM	MM B10	Pittsburgh, Pennsylvania	Griffin
60257	Introduction to Computing for Creative Practices	10.0	A	TR	11:30AM	01:20PM	WEH 5201	Pittsburgh, Pennsylvania	Roberts
60298	Photography and Reality	10.0	A	TR	01:30PM	04:20PM	MM B2	Pittsburgh, Pennsylvania	Instructor TBA
60358	Art and Biology	9.0	A	TR	09:00AM	10:50AM	CFA 303	Pittsburgh, Pennsylvania	Maurides
60370	An Aesthetics of Hip Hop Seminar	9.0	A	W	06:30PM	09:20PM	CFA 303	Pittsburgh, Pennsylvania	Moor
60387	Special Topics:	9.0	 	 	 	 	 	 
 	Likeness - Portrayal after Warhol	 	A	T	06:30PM	09:20PM	CFA 307	Pittsburgh, Pennsylvania	King
60390	Special Topics:	9.0	 	 	 	 	 	 
 	Museums and New Curatorial Production	 	A	W	09:00AM	11:20AM	CFA 307	Pittsburgh, Pennsylvania	King
60392	Inner Geographies	9.0	A	M	06:30PM	09:20PM	CFA 303	Pittsburgh, Pennsylvania	Maurides, Burgess
60398	Social History of Animation	9.0	A	MW	10:00AM	11:20AM	CFA 303	Pittsburgh, Pennsylvania	Duesing
60399	Art History/Theory Independent Study	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
60400	Senior Review	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60402	Senior Studio	20.0	A	TR	01:30PM	04:20PM	CFA 303	Pittsburgh, Pennsylvania	Bingham, Silver, Beck, Stigliani
 	 	 	 	TR	06:30PM	09:20PM	CFA 4THFL	Pittsburgh, Pennsylvania	 
